                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.153,                 11.899,                 4.9319,                      0,                      0,                      0,                      0,                 6.1028,                 6.7832,                 4.1595,                  2e-05,                  2e-05,                  2e-05
                      2,                 5.1009,                 12.263,                 5.2014,                      0,                      0,                      0,                      0,                 6.1034,                  6.786,                 4.1601,              5.604e-05,              5.604e-05,              5.604e-05
                      3,                 4.9999,                 9.5458,                 4.9554,                      0,                      0,                      0,                      0,                 6.1041,                 6.7881,                 4.1608,               8.68e-05,               8.68e-05,               8.68e-05
                      4,                 4.6844,                 8.7223,                 4.9068,                      0,                      0,                      0,                      0,                  6.105,                 6.7895,                 4.1619,             0.00011228,             0.00011228,             0.00011228
                      5,                 4.3688,                 8.1092,                 4.8616,                      0,                      0,                      0,                      0,                 6.1062,                 6.7911,                 4.1633,             0.00013248,             0.00013248,             0.00013248
                      6,                 3.2324,                 8.3309,                 5.5275,                      0,                      0,                      0,                      0,                 6.1076,                 6.7935,                  4.165,              0.0001474,              0.0001474,              0.0001474
                      7,                 3.3733,                 7.3849,                 5.4877,                      0,                      0,                      0,                      0,                 6.1093,                  6.798,                 4.1673,             0.00015704,             0.00015704,             0.00015704
                      8,                 3.6344,                 7.4923,                 4.7986,                      0,                      0,                      0,                      0,                 6.1113,                 6.8031,                   4.17,              0.0001614,              0.0001614,              0.0001614
                      9,                  3.157,                 6.7236,                 4.8945,                      0,                      0,                      0,                      0,                 6.1124,                  6.805,                 4.1714,             0.00016048,             0.00016048,             0.00016048
                     10,                 3.2373,                 7.4768,                 4.6128,                      0,                      0,                      0,                      0,                 6.1144,                 6.8102,                 4.1743,             0.00015428,             0.00015428,             0.00015428
                     11,                 3.0587,                 6.3521,                 4.7123,                      0,                      0,                      0,                      0,                 6.1166,                 6.8153,                 4.1774,              0.0001428,              0.0001428,              0.0001428
                     12,                 3.2572,                  7.394,                 4.5484,                      0,                      0,                      0,                      0,                 6.1188,                 6.8196,                 4.1805,             0.00012604,             0.00012604,             0.00012604
                     13,                 2.8797,                 6.5593,                 4.4998,                      0,                      0,                      0,                      0,                 6.1209,                 6.8233,                 4.1836,               0.000104,               0.000104,               0.000104
                     14,                 3.1907,                 6.2979,                 4.3501,                      0,                      0,                      0,                      0,                 6.1232,                 6.8272,                 4.1868,              7.668e-05,              7.668e-05,              7.668e-05
                     15,                 2.8104,                 6.1289,                 4.3998,                      0,                      0,                      0,                      0,                 6.1252,                  6.831,                 4.1899,              4.408e-05,              4.408e-05,              4.408e-05
