                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1518,                 9.3625,                 4.7893,                0.00011,                0.02941,                  6e-05,                  2e-05,                 5.3559,                 7.8658,                 4.1637,                0.00022,                0.00022,                0.00022
                      2,                  4.128,                 7.0085,                 4.2553,                 0.0001,                0.02941,                  6e-05,                  1e-05,                 5.3671,                 7.8201,                 4.1723,             0.00045545,             0.00045545,             0.00045545
                      3,                 3.6803,                 6.6364,                 4.0076,                 0.0001,                0.02941,                  5e-05,                  1e-05,                 5.3859,                 7.5427,                 4.1893,             0.00068614,             0.00068614,             0.00068614
                      4,                 3.0161,                 4.7248,                 3.8049,                0.00012,                0.03676,                  7e-05,                  1e-05,                 5.4241,                 6.8146,                 4.2393,             0.00091208,             0.00091208,             0.00091208
                      5,                 2.8438,                 4.0267,                 3.3158,                 0.0001,                0.02941,                  6e-05,                  1e-05,                 5.4773,                 6.2494,                 4.3351,              0.0011333,              0.0011333,              0.0011333
                      6,                 2.7174,                  3.543,                 2.8925,                0.00025,                0.02941,                0.00013,                  2e-05,                 5.5125,                 6.0732,                 4.4116,              0.0013497,              0.0013497,              0.0013497
                      7,                 2.5362,                 3.2765,                 2.5379,                0.00026,                0.02941,                0.00014,                  2e-05,                 5.5217,                 6.2612,                 4.4434,              0.0015614,              0.0015614,              0.0015614
                      8,                 2.3001,                 2.9301,                 2.3845,                0.00034,                0.03676,                0.00018,                  2e-05,                 5.5332,                 6.2344,                 4.4652,              0.0017683,              0.0017683,              0.0017683
                      9,                  2.237,                 2.5278,                 2.2082,                0.00021,                0.04412,                0.00012,                  2e-05,                 5.5174,                 6.5103,                 4.4317,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.2534,                 2.3535,                 2.1902,                0.00099,                0.22794,                0.00118,                0.00027,                 4.6217,                 5.8187,                 3.9672,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.2209,                 2.0542,                 2.0201,                 0.0875,                0.06699,                0.03066,                0.00775,                  2.809,                 4.4274,                 3.0747,               0.001802,               0.001802,               0.001802
                     12,                 2.0342,                 2.0939,                  2.008,                0.67237,                0.41912,                0.52231,                0.16581,                   2.08,                  2.716,                 2.1595,              0.0017822,              0.0017822,              0.0017822
                     13,                  1.921,                 2.0917,                  1.869,                0.75334,                0.60294,                0.66456,                0.31106,                 1.7699,                 2.3851,                 2.0092,              0.0017624,              0.0017624,              0.0017624
