                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                 1.9369,                 1.7543,                 1.8625,                0.91093,                0.90441,                 0.9614,                 0.5704,                 1.6097,                 1.4652,                 1.7266,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.8656,                 1.7357,                 1.7582,                 0.8358,                0.83088,                0.91905,                0.59313,                 1.3526,                 1.5173,                 1.5385,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.7958,                 1.6147,                 1.7528,                0.79632,                0.83824,                0.83661,                0.41954,                 1.5786,                 1.9791,                 1.6908,               0.001703,               0.001703,               0.001703
                     17,                  1.771,                 1.5325,                 1.7053,                0.81692,                0.71324,                0.82383,                0.48686,                 1.5157,                 1.8511,                 1.6974,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.7103,                 1.5464,                 1.6824,                0.73442,                0.91501,                0.88752,                0.46345,                 1.5972,                 1.5726,                 1.7992,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.6404,                 1.3928,                 1.6115,                0.90478,                0.83824,                0.95282,                0.61582,                 1.3831,                 1.4311,                 1.5467,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.4381,                 1.2594,                 1.5766,                0.93865,                0.91176,                0.97833,                0.62571,                 1.3855,                 1.2609,                 1.5722,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.5523,                 1.3183,                 1.6071,                 0.9197,                0.91176,                0.97014,                0.61808,                 1.4167,                 1.3238,                 1.7376,               0.001604,               0.001604,               0.001604
                     22,                 1.4444,                 1.2159,                 1.5284,                0.90505,                0.91112,                0.96669,                0.64615,                 1.3351,                 1.4481,                  1.533,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.4856,                 1.1715,                 1.5252,                0.86536,                0.94515,                0.96795,                0.62467,                 1.2609,                 1.1463,                 1.5027,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.5284,                 1.1738,                 1.5389,                0.94873,                0.95249,                0.98579,                0.58057,                 1.4686,                 1.1894,                  1.589,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.4659,                 1.1289,                 1.4977,                0.92401,                0.89408,                0.97254,                 0.5247,                 1.6614,                 1.4802,                  1.571,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.4804,                 1.0798,                 1.4839,                0.90964,                0.92647,                0.97738,                0.69781,                 1.1932,                 1.2117,                 1.4019,               0.001505,               0.001505,               0.001505
                     27,                 1.3509,                 1.0609,                 1.4352,                0.91235,                0.94853,                0.98118,                0.66126,                 1.3124,                 1.0685,                   1.44,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.3596,                 1.0389,                 1.4504,                0.97624,                0.90624,                0.98723,                0.67963,                   1.26,                 1.0703,                 1.5134,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.3911,                 1.0937,                 1.4874,                0.88544,                0.95588,                0.97317,                0.69043,                 1.1897,                 1.0255,                 1.3476,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.3953,                 1.0895,                 1.4511,                0.97534,                0.95588,                 0.9901,                0.73324,                 1.0566,                 1.1629,                 1.3268,              0.0014258,              0.0014258,              0.0014258
                     31,                  1.303,                0.99089,                 1.4159,                0.92705,                 0.9344,                0.98176,                 0.7794,                 0.9939,                0.89295,                 1.3142,               0.001406,               0.001406,               0.001406
                     32,                 1.2577,                0.99819,                 1.3708,                0.90638,                0.85424,                0.95593,                 0.6897,                 1.0756,                 1.1783,                 1.3137,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.2416,                0.93842,                 1.3278,                0.95475,                0.93096,                0.98563,                0.74276,                 1.0489,                0.92337,                 1.2933,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.1985,                0.89895,                 1.3155,                0.95496,                0.97059,                0.98745,                0.77614,                0.95396,                 0.8756,                 1.2829,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.1696,                0.88816,                 1.2827,                0.92757,                0.94167,                0.98457,                0.73791,                 1.0557,                0.86868,                 1.3225,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2674,                0.94446,                 1.3598,                0.96283,                0.95224,                0.98965,                0.77284,                0.96561,                0.83513,                 1.3122,               0.001307,               0.001307,               0.001307
                     37,                  1.169,                0.94472,                 1.2963,                0.92293,                0.95588,                0.98328,                0.75215,                 1.0331,                0.85517,                 1.2917,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2052,                 0.8987,                 1.3266,                0.97661,                0.92085,                0.98578,                0.70496,                 1.0452,                0.81855,                 1.3384,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1318,                 0.8938,                  1.342,                0.95015,                0.98108,                0.99097,                0.72049,                 1.1152,                0.79831,                 1.3263,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1497,                 0.8174,                 1.2576,                0.98466,                0.89706,                0.98318,                 0.7811,                0.97608,                0.85089,                 1.3076,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1078,                0.84031,                   1.32,                0.95294,                0.97794,                0.99225,                0.69205,                 1.1428,                0.84506,                 1.3521,               0.001208,               0.001208,               0.001208
                     42,                 1.1933,                0.87827,                 1.3357,                0.99235,                 0.9543,                0.99108,                0.75274,                0.99549,                0.90741,                 1.2992,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0789,                0.79901,                 1.2618,                0.93783,                0.97794,                0.99043,                0.78015,                 0.9621,                0.72723,                 1.2403,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1152,                0.78427,                 1.2155,                0.94143,                0.95588,                0.98528,                0.71045,                 1.0368,                 0.8621,                 1.3401,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0646,                0.77832,                  1.225,                0.98488,                0.95773,                0.99323,                0.70829,                  1.178,                 0.7695,                 1.3081,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0819,                0.77052,                 1.3087,                 0.9851,                0.97251,                0.99207,                0.81219,                0.84497,                0.72257,                 1.2311,               0.001109,               0.001109,               0.001109
                     47,                 1.0549,                0.74633,                 1.2328,                0.92924,                0.96569,                0.98833,                0.80674,                0.86706,                0.74742,                 1.2308,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0135,                0.72594,                 1.2566,                0.99526,                0.94118,                0.99162,                0.77645,                0.90309,                0.72509,                 1.2025,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1226,                0.81904,                 1.2966,                0.95017,                0.98153,                0.98998,                0.77783,                0.85917,                0.72685,                 1.2178,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0316,                0.71769,                  1.193,                  0.946,                0.88971,                0.97586,                0.78304,                 0.8819,                0.73251,                 1.2568,              0.0010298,              0.0010298,              0.0010298
