                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.2494,                 21.691,                 4.7699,                      0,                      0,                      0,                      0,                 6.6136,                 8.7496,                 4.1596,                      0,                      0,                      0
                      2,                 5.8948,                 14.788,                 5.0251,                      0,                      0,                      0,                      0,                 6.6138,                 8.7524,                 4.1602,              1.868e-05,              1.868e-05,              1.868e-05
                      3,                 6.1552,                 19.893,                 4.8922,                      0,                      0,                      0,                      0,                  6.614,                 8.7551,                 4.1608,              3.472e-05,              3.472e-05,              3.472e-05
                      4,                  5.852,                 13.448,                 5.4789,                      0,                      0,                      0,                      0,                 6.6142,                 8.7578,                 4.1615,              4.812e-05,              4.812e-05,              4.812e-05
                      5,                 5.3484,                 21.754,                 5.4102,                      0,                      0,                      0,                      0,                 6.6144,                 8.7603,                 4.1622,              5.888e-05,              5.888e-05,              5.888e-05
                      6,                 5.0039,                 13.364,                 6.3594,                      0,                      0,                      0,                      0,                 6.6146,                 8.7625,                 4.1629,                6.7e-05,                6.7e-05,                6.7e-05
                      7,                 4.8805,                 14.968,                  5.913,                      0,                      0,                      0,                      0,                 6.6149,                 8.7647,                 4.1638,              7.248e-05,              7.248e-05,              7.248e-05
                      8,                 4.5175,                 11.522,                 5.3491,                      0,                      0,                      0,                      0,                 6.6151,                 8.7663,                 4.1645,              7.532e-05,              7.532e-05,              7.532e-05
                      9,                 4.7489,                 13.473,                 5.7257,                      0,                      0,                      0,                      0,                 6.6154,                 8.7684,                 4.1656,              7.552e-05,              7.552e-05,              7.552e-05
                     10,                 4.4736,                 11.491,                  5.811,                      0,                      0,                      0,                      0,                 6.6158,                 8.7703,                 4.1666,              7.308e-05,              7.308e-05,              7.308e-05
                     11,                  4.273,                 12.562,                 5.8493,                      0,                      0,                      0,                      0,                 6.6161,                 8.7726,                 4.1677,                6.8e-05,                6.8e-05,                6.8e-05
                     12,                 4.1771,                 10.961,                 5.4061,                      0,                      0,                      0,                      0,                 6.6165,                 8.7752,                 4.1688,              6.028e-05,              6.028e-05,              6.028e-05
                     13,                    3.6,                 10.358,                 4.7479,                      0,                      0,                      0,                      0,                 6.6168,                  8.778,                   4.17,              4.992e-05,              4.992e-05,              4.992e-05
                     14,                 3.7609,                 8.7048,                 5.3903,                      0,                      0,                      0,                      0,                 6.6172,                 8.7811,                 4.1712,              3.692e-05,              3.692e-05,              3.692e-05
                     15,                 3.8167,                 9.4655,                  5.334,                      0,                      0,                      0,                      0,                 6.6176,                 8.7843,                 4.1724,              2.128e-05,              2.128e-05,              2.128e-05
