                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1518,                 9.3625,                 4.7893,                0.00011,                0.02941,                  6e-05,                  2e-05,                 5.3559,                 7.8658,                 4.1637,                0.00022,                0.00022,                0.00022
                      2,                 4.1021,                 7.0015,                 4.2728,                0.00013,                0.03676,                  7e-05,                  1e-05,                  5.367,                 7.8244,                 4.1724,             0.00043723,             0.00043723,             0.00043723
                      3,                 3.7692,                 6.8091,                 4.0111,                0.00012,                0.03676,                  7e-05,                  2e-05,                 5.3854,                 7.5866,                 4.1892,              0.0006307,              0.0006307,              0.0006307
                      4,                 3.0319,                 4.8423,                 3.8349,                0.00012,                0.03676,                  7e-05,                  1e-05,                 5.4127,                 6.8931,                 4.2264,             0.00080041,             0.00080041,             0.00080041
                      5,                 2.8259,                 3.9218,                 3.3252,                 0.0001,                0.02941,                  6e-05,                  1e-05,                 5.4566,                 6.5244,                 4.2961,             0.00094636,             0.00094636,             0.00094636
                      6,                 2.7145,                  3.589,                 2.9102,                0.00024,                0.02941,                0.00013,                  2e-05,                 5.4813,                 6.2279,                 4.3457,              0.0010685,              0.0010685,              0.0010685
                      7,                 2.5737,                 3.3998,                 2.5974,                0.00026,                0.02941,                0.00013,                  2e-05,                 5.4865,                 6.2293,                 4.3682,               0.001167,               0.001167,               0.001167
                      8,                 2.3099,                 2.9496,                 2.4122,                0.00027,                0.02941,                0.00014,                  2e-05,                 5.5045,                 6.3186,                 4.4121,              0.0012416,              0.0012416,              0.0012416
                      9,                 2.2725,                 2.6037,                 2.3731,                0.00014,                0.02941,                  7e-05,                  1e-05,                 5.5142,                 6.3038,                 4.4338,               0.001208,               0.001208,               0.001208
                     10,                  2.161,                 2.3827,                 2.3014,                0.00013,                0.02941,                  7e-05,                  1e-05,                 5.4505,                 6.2548,                 4.3264,               0.001109,               0.001109,               0.001109
                     11,                 1.9714,                 2.8677,                 2.1779,                0.03266,                0.08824,                0.00658,                0.00144,                 4.3042,                 5.4033,                 3.7559,                0.00101,                0.00101,                0.00101
                     12,                 1.8296,                 2.7162,                 2.0049,                0.48121,                0.16176,                 0.1736,                0.04045,                 2.7431,                 3.8868,                 2.6311,               0.000911,               0.000911,               0.000911
                     13,                 1.7045,                 2.5198,                 1.8851,                0.44542,                0.21324,                0.28337,                0.06389,                 2.2665,                 3.2372,                 2.2485,               0.000812,               0.000812,               0.000812
                     14,                 1.6968,                 2.5265,                  1.852,                 0.8293,                0.69118,                0.84271,                0.30294,                 2.0396,                 2.1415,                 1.9969,               0.000713,               0.000713,               0.000713
                     15,                 1.7052,                 2.2424,                 1.8486,                0.36039,                0.81205,                0.50049,                0.14252,                 2.3532,                  2.484,                 2.1813,               0.000614,               0.000614,               0.000614
                     16,                 1.7624,                 2.2607,                 1.9135,                 0.8637,                0.83866,                0.94878,                0.63334,                 1.3301,                 1.6138,                 1.6914,               0.000515,               0.000515,               0.000515
                     17,                 1.6163,                 2.1612,                 1.8589,                0.94676,                0.91535,                0.97042,                0.61002,                 1.4296,                 1.6324,                 1.6694,               0.000416,               0.000416,               0.000416
                     18,                 1.5293,                 1.9911,                 1.7482,                0.94364,                0.86173,                0.94424,                0.57618,                  1.404,                 1.5704,                 1.6557,               0.000317,               0.000317,               0.000317
                     19,                 1.3864,                 1.8551,                 1.6873,                0.93219,                0.88971,                0.96182,                0.62456,                 1.3809,                 1.4681,                 1.6346,               0.000218,               0.000218,               0.000218
                     20,                 1.5431,                 1.9157,                 1.7261,                0.95326,                0.89977,                0.97219,                0.66344,                 1.3109,                 1.4386,                 1.6044,               0.000119,               0.000119,               0.000119
