                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.2494,                 21.691,                 4.7699,                      0,                      0,                      0,                      0,                 6.6136,                 8.7496,                 4.1596,                      0,                      0,                      0
                      2,                 5.8948,                 14.788,                 5.0251,                      0,                      0,                      0,                      0,                 6.6138,                 8.7525,                 4.1602,               1.34e-05,               1.34e-05,               1.34e-05
                      3,                 6.1603,                 20.102,                 4.8919,                      0,                      0,                      0,                      0,                  6.614,                 8.7555,                 4.1609,               1.36e-05,               1.36e-05,               1.36e-05
